"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g02030-T",556,228,299,353,239,448,117,363,205,332,518,528,394,433
"Afu1g02040-T",156,62,71,102,55,190,72,118,137,42,62,4,7,4
"Afu1g02050-T",137,45,90,81,41,111,27,51,48,34,52,63,42,46
"Afu1g02060-T",22,9,9,13,14,25,7,8,11,6,14,14,11,8
"Afu1g02070-T",2585,1515,1761,1988,1204,2884,1553,1917,1761,1880,2597,2995,2334,2047
"Afu1g02080-T",930,589,750,813,801,1343,324,591,517,675,1375,727,591,562
"Afu1g02090-T",449,191,315,284,261,502,130,220,275,238,502,89,84,97
"Afu1g02100-T",38,10,32,13,9,34,4,11,12,9,27,16,15,14
"Afu1g02110-T",62,24,47,39,28,47,10,49,47,98,95,225,158,142
"Afu1g02120-T",999,688,658,880,922,1252,328,451,472,312,777,143,101,101
"Afu1g02130-T",1769,950,1255,1636,1203,2591,433,541,841,453,667,191,123,94
"Afu1g02140-T",623,213,487,358,152,656,213,315,311,202,302,74,61,61
"Afu1g02150-T",119,45,77,57,22,115,25,73,46,105,108,70,36,73
"Afu1g02160-T",17,5,15,13,11,16,3,22,23,25,41,48,41,36
"Afu1g02170-T",154,68,125,113,40,180,48,60,64,46,50,20,20,19
"Afu1g02180-T",21,4,30,10,2,22,1,3,6,13,12,13,3,8
"Afu1g02190-T",477,262,349,343,249,563,182,238,233,251,326,251,232,176
"Afu1g02200-T",47,18,22,31,20,47,14,30,31,23,55,44,29,36
"Afu1g02210-T",32,4,12,12,15,21,7,30,23,72,80,76,56,49
"Afu1g02220-T",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Afu1g02230-T",4,1,2,0,2,8,3,1,0,3,3,0,3,7
"Afu1g02240-T",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02250-T",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Afu1g02255-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02260-T",0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Afu1g02270-T",381,229,319,336,394,512,58,87,151,73,167,115,18,71
"Afu1g02280-T",143,102,86,157,138,138,71,100,138,86,118,59,72,52
"Afu1g02290-T",4246,2455,3016,4112,3786,4499,2876,4250,5243,2887,4647,2644,2518,1543
"Afu1g02300-T",2,1,0,0,0,0,0,0,0,0,1,0,0,0
"Afu1g02310-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02320-T",66,39,29,61,85,117,21,15,31,20,55,29,16,20
"Afu1g02330-T",719,404,463,620,486,907,450,497,539,393,637,405,334,304
"Afu1g02340-T",598,403,415,523,462,919,157,271,339,324,652,409,264,304
"Afu1g02350-T",67,55,59,103,82,96,39,61,66,97,172,70,65,61
"Afu1g02360-T",54,27,44,39,25,83,25,32,48,36,41,31,14,20
"Afu1g02370-T",6,0,6,0,1,7,0,0,1,1,1,0,2,6
"Afu1g02380-T",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Afu1g02390-T",89,19,39,40,28,80,9,32,31,34,39,92,49,51
"Afu1g02400-T",24,17,24,18,13,18,9,22,30,23,55,39,21,15
"Afu1g02410-T",192,52,112,96,55,153,17,58,44,68,100,75,43,50
"Afu1g02420-T",143,135,101,132,139,210,95,108,128,83,148,27,28,25
"Afu1g02430-T",428,201,293,275,162,475,196,291,255,195,253,116,63,62
"Afu1g02440-T",42,27,19,19,21,57,17,30,20,9,27,20,12,16
"Afu1g02450-T",194,97,88,139,93,217,69,110,88,89,116,60,49,46
"Afu1g02460-T",15,6,26,8,10,23,7,23,24,54,77,38,27,34
"Afu1g02480-T",26,12,20,21,10,27,4,4,8,3,9,4,3,3
"Afu1g02490-T",70,22,48,31,24,78,18,18,14,11,32,11,11,10
"Afu1g02500-T",121,42,63,74,44,119,40,52,55,50,68,55,35,40
"Afu1g02510-T",313,123,242,207,70,295,73,129,97,115,123,77,67,68
"Afu1g02520-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02530-T",65,31,32,39,23,61,25,44,26,46,74,73,47,70
"Afu1g02540-T",1155,616,964,902,426,1360,467,758,595,609,815,631,440,392
"Afu1g02550-T",6970,4118,4916,5603,3280,7948,2304,3088,2648,3683,5206,4265,3094,3021
"Afu1g02560-T",39,7,15,23,7,27,3,13,9,2,15,6,4,1
"Afu1g02570-T",3049,1899,1931,2615,2154,4114,1536,2211,2381,2299,3163,401,259,262
"Afu1g02580-T",1119,556,679,786,584,1427,482,567,633,589,948,256,186,164
"Afu1g02590-T",76,48,36,65,65,120,25,52,79,70,150,84,41,57
"Afu1g02600-T",628,239,480,379,249,659,236,396,317,335,420,176,200,130
"Afu1g02610-T",22,20,8,35,16,20,12,30,41,57,80,31,14,22
"Afu1g02620-T",168,64,116,99,44,129,11,13,25,22,41,33,36,19
"Afu1g02630-T",14,9,7,20,10,21,13,32,37,94,92,35,29,30
"Afu1g02640-T",88,26,34,45,39,59,13,17,32,30,35,58,58,28
"Afu1g02650-T",94,19,62,45,32,72,21,24,24,24,32,38,32,32
"Afu1g02660-T",1,2,0,5,1,0,0,0,0,1,3,1,0,1
"Afu1g02670-T",846,367,557,548,347,906,249,443,520,299,530,404,282,240
"Afu1g02680-T",289,182,260,292,273,401,139,220,246,241,415,212,140,178
"Afu1g02700-T",125,79,182,145,201,192,116,205,222,143,343,78,50,71
"Afu1g02710-T",106,56,89,88,71,164,52,82,102,92,136,52,29,30
"Afu1g02720-T",155,53,107,97,74,151,21,38,45,55,75,40,37,34
"Afu1g02730-T",103,11,50,29,23,84,4,7,6,21,32,54,41,45
"Afu1g02740-T",0,0,1,0,0,0,0,0,0,0,0,3,0,0
"Afu1g02750-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02760-T",574,288,402,390,215,597,140,211,210,198,317,158,105,103
"Afu1g02770-T",24,10,15,13,22,35,17,11,21,24,38,28,38,36
"Afu1g02780-T",377,185,251,256,265,467,77,94,115,183,275,372,344,259
"Afu1g02800-T",578,296,363,427,360,690,173,228,270,245,367,315,292,235
"Afu1g02810-T",41,13,24,21,17,29,9,15,11,17,27,14,15,11
"Afu1g02820-T",106,69,83,99,78,134,12,16,21,107,323,23,20,15
"Afu1g02830-T",431,181,271,303,114,490,157,239,229,168,195,56,34,53
"Afu1g02840-T",56,22,43,38,28,48,22,41,46,33,63,144,81,103
"Afu1g02850-T",83,53,79,90,72,162,65,62,73,45,57,46,39,31
"Afu1g02860-T",3,0,2,2,2,2,1,1,0,0,0,1,2,2
"Afu1g02870-T",165,56,95,107,25,196,18,36,38,60,84,90,71,74
"Afu1g02880-T",457,187,235,276,221,532,27,42,51,75,123,181,134,127
"Afu1g02890-T",239,77,150,129,61,256,19,45,70,43,72,157,88,107
"Afu1g02900-T",21,7,8,12,8,17,7,22,27,25,29,13,4,14
"Afu1g02910-T",2464,1268,1747,1929,1009,3399,524,717,791,763,1032,283,222,220
"Afu1g02920-T",70,21,59,30,22,55,5,14,15,27,35,12,14,6
"Afu1g02930-T",293,118,205,174,128,294,57,88,151,45,110,86,58,56
"Afu1g02940-T",58,33,47,51,21,81,21,44,35,29,36,17,14,18
"Afu1g02950-T",671,131,319,231,116,847,2446,3497,4168,151,212,155,122,111
"Afu1g02960-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g02970-T",657,171,261,229,153,636,375,424,561,159,266,552,363,447
"Afu1g02980-T",8796,4823,5351,7260,5457,12199,4492,6067,5463,4329,6131,2204,1759,1420
"Afu1g02985-T",140,61,105,106,60,158,56,76,89,32,111,67,75,60
"Afu1g02990-T",1788,884,1235,1305,966,2071,987,1464,1496,993,1597,380,310,271
"Afu1g03000-T",11,3,5,8,4,7,5,10,4,17,15,20,16,14
"Afu1g03010-T",171,74,95,103,71,194,67,134,120,103,189,95,35,62
"Afu1g03020-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03030-T",250,100,145,186,136,299,137,254,238,86,176,154,76,114
"Afu1g03035-T",157,91,92,125,65,172,32,43,56,63,150,55,41,59
"Afu1g03040-T",8588,6705,6254,8988,8077,12408,8040,12265,11229,12317,18518,9104,7682,6502
"Afu1g03050-T",1034,600,805,851,942,1521,628,1068,1041,860,1462,942,805,718
"Afu1g03060-T",596,195,369,280,201,551,115,137,171,108,203,253,165,131
"Afu1g03070-T",561,280,384,510,355,671,260,469,459,346,524,162,103,91
"Afu1g03080-T",217,82,139,119,111,238,31,56,62,33,58,17,14,18
"Afu1g03090-T",2453,1075,1569,1825,1164,4356,2317,3909,3582,2513,2546,20,9,12
"Afu1g03100-T",1677,844,1129,1203,780,2067,800,970,895,1049,1306,1863,1543,1157
"Afu1g03110-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g03120-T",342,203,214,321,216,429,86,178,198,125,241,150,112,119
"Afu1g03130-T",174,73,133,126,97,192,59,126,127,106,158,144,115,119
"Afu1g03140-T",233,125,192,193,107,274,37,53,89,50,72,42,44,26
